ticket_id,created_at,customer_id,customer_segment,channel,product_area,issue_type,priority,status,sla_plan,initial_message,agent_first_reply,resolution_summary,resolution_time_hours,reopened,customer_sentiment,csat_score,has_attachment,platform,region,created_year,created_month,created_month_name,created_quarter,is_resolved,is_unresolved
TCKT_000013,2023-02-22 18:04:40,CUST_02694,small_business,email,notifications,performance,medium,in_progress,standard,Overall performance has degraded in the last few days.,We understand performance issues can be frustrating. Our team is reviewing this and will follow up within 24 hours.,Not yet resolved,,0,positive,4,0,ios,Unknown,2023,2,February,1,False,True
TCKT_000014,2024-03-21 08:57:04,CUST_01307,small_business,in_app,data_export,performance,medium,resolved,gold,The data export page is very slow and takes a long time to load.,We understand performance issues can be frustrating. Our team is reviewing this and will follow up within 24 hours.,Optimized queries and increased resource allocation.,4.31,0,negative,2,0,desktop_app,LATAM,2024,3,March,1,True,False
TCKT_000015,2025-06-15 10:10:31,CUST_01999,education,chat,mobile_app,feature_request,low,in_progress,standard,It would be great to have mobile app support in your product.,Thanks for your feature suggestion. We will look into this and get back to you within the next 48 hours.,Not yet resolved,,0,neutral,0,1,api_client,MEA,2025,6,June,2,False,True
TCKT_000016,2023-03-14 15:54:14,CUST_07555,enterprise,in_app,analytics_dashboard,security_concern,low,in_progress,standard,We need details about your data encryption and compliance.,We take security very seriously. We will look into this and get back to you within the next 48 hours.,Not yet resolved,,1,neutral,4,0,android,EU,2023,3,March,1,False,True
TCKT_000017,2023-04-10 20:35:12,CUST_05250,non_profit,web_form,billing,bug,medium,resolved,standard,The page keeps crashing whenever I try to open the billing section.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,Patched the bug and deployed a fix to production.,30.08,0,very_negative,1,0,android,EU,2023,4,April,2,True,False
TCKT_000018,2022-12-30 04:11:31,CUST_07778,education,in_app,billing,security_concern,medium,resolved,standard,We need details about your data encryption and compliance.,We take security very seriously. Our team is reviewing this and will follow up within 24 hours.,"Investigated logs, mitigated the issue, and updated security settings.",40.75,1,negative,0,0,api_client,LATAM,2022,12,December,4,True,False
TCKT_000019,2024-11-25 13:01:46,CUST_06547,non_profit,phone_transcript,api_integration,bug,medium,resolved,standard,The api integration feature is not saving my changes.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,Patched the bug and deployed a fix to production.,8.23,0,very_positive,5,0,web,MEA,2024,11,November,4,True,False
TCKT_000020,2024-08-24 08:57:46,CUST_08156,enterprise,phone_transcript,billing,account_access,medium,in_progress,standard,My 2FA code is not working when I try to sign in.,Sorry to hear you're having trouble accessing your account. Our team is reviewing this and will follow up within 24 hours.,Not yet resolved,,0,neutral,0,0,android,LATAM,2024,8,August,3,False,True
TCKT_000021,2024-04-06 23:23:31,CUST_02050,individual,phone_transcript,api_integration,feature_request,urgent,closed_no_action,standard,Our team needs more advanced options for api integration.,Thanks for your feature suggestion. This has been escalated to our on-call team for immediate attention.,Ticket closed without further action after no response from the customer.,214.65,0,negative,0,0,web,APAC,2024,4,April,2,True,False
TCKT_000022,2023-09-18 01:42:43,CUST_06296,non_profit,in_app,login_auth,feature_request,medium,resolved,gold,Can you add an option to customize login auth?,Thanks for your feature suggestion. Our team is reviewing this and will follow up within 24 hours.,Captured the request and added it to the product backlog.,45.17,1,positive,5,1,android,MEA,2023,9,September,3,True,False
TCKT_000023,2022-12-27 11:41:22,CUST_02201,non_profit,email,api_integration,performance,low,in_progress,standard,Overall performance has degraded in the last few days.,We understand performance issues can be frustrating. We will look into this and get back to you within the next 48 hours.,Not yet resolved,,0,neutral,3,1,web,Unknown,2022,12,December,4,False,True
TCKT_000024,2025-06-03 21:37:17,CUST_09493,enterprise,phone_transcript,login_auth,bug,low,on_hold,gold,The page keeps crashing whenever I try to open the login auth section.,Thanks for reporting this bug. We will look into this and get back to you within the next 48 hours.,Not yet resolved,,0,positive,5,0,api_client,Unknown,2025,6,June,2,False,True
TCKT_000025,2024-01-26 17:08:06,CUST_01046,individual,web_form,notifications,how_to,low,closed_no_action,standard,Can you explain how to configure notifications properly?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,Ticket closed without further action after no response from the customer.,216.68,0,positive,5,0,android,EU,2024,1,January,1,True,False
TCKT_000026,2024-10-11 23:06:08,CUST_07997,education,in_app,login_auth,account_access,medium,resolved,gold,My account was locked after multiple failed login attempts.,Sorry to hear you're having trouble accessing your account. Our team is reviewing this and will follow up within 24 hours.,Reset account credentials and confirmed successful login.,5.92,0,very_positive,5,0,api_client,LATAM,2024,10,October,4,True,False
TCKT_000027,2025-12-11 01:06:03,CUST_01061,small_business,in_app,notifications,billing_problem,high,resolved,platinum,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. We are prioritizing this and will update you as soon as possible.,Adjusted the invoice and issued a refund where applicable.,23.16,0,positive,0,0,ios,LATAM,2025,12,December,4,True,False
TCKT_000028,2022-08-08 19:39:43,CUST_03395,enterprise,web_form,api_integration,other,low,resolved,platinum,I have a general question about my account.,Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,Provided general guidance and confirmed the issue was resolved.,52.55,0,neutral,0,0,android,EU,2022,8,August,3,True,False
TCKT_000029,2024-01-20 19:55:45,CUST_07807,individual,phone_transcript,billing,billing_problem,medium,resolved,gold,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Adjusted the invoice and issued a refund where applicable.,34.67,0,neutral,3,0,android,Unknown,2024,1,January,1,True,False
TCKT_000030,2022-11-05 13:10:09,CUST_08717,individual,email,login_auth,how_to,low,open,gold,How can I export my data from the login auth section?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,Not yet resolved,,0,negative,0,1,ios,Unknown,2022,11,November,4,False,True
TCKT_000031,2023-08-01 11:48:02,CUST_06615,non_profit,chat,mobile_app,other,low,resolved,standard,I have a general question about my account.,Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,Provided general guidance and confirmed the issue was resolved.,51.01,0,neutral,0,0,api_client,EU,2023,8,August,3,True,False
TCKT_000032,2024-04-07 21:44:25,CUST_07510,non_profit,in_app,analytics_dashboard,billing_problem,low,open,standard,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. We will look into this and get back to you within the next 48 hours.,Not yet resolved,,0,negative,3,1,desktop_app,EU,2024,4,April,2,False,True
TCKT_000033,2025-12-19 13:56:20,CUST_05223,individual,email,data_export,security_concern,low,open,standard,We need details about your data encryption and compliance.,We take security very seriously. We will look into this and get back to you within the next 48 hours.,Not yet resolved,,0,negative,3,0,desktop_app,LATAM,2025,12,December,4,False,True
TCKT_000034,2025-09-08 21:43:05,CUST_01694,education,email,data_export,how_to,low,on_hold,standard,How can I export my data from the data export section?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,Not yet resolved,,0,positive,0,1,desktop_app,APAC,2025,9,September,3,False,True
TCKT_000035,2025-01-01 19:56:46,CUST_07561,individual,chat,login_auth,billing_problem,medium,open,platinum,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Not yet resolved,,0,negative,0,1,desktop_app,EU,2025,1,January,1,False,True
TCKT_000036,2025-11-10 23:34:04,CUST_03344,education,chat,mobile_app,other,medium,resolved,standard,I have a general question about my account.,Thanks for contacting support. Our team is reviewing this and will follow up within 24 hours.,Provided general guidance and confirmed the issue was resolved.,36.12,0,very_negative,1,1,web,LATAM,2025,11,November,4,True,False
TCKT_000037,2025-01-14 15:57:01,CUST_09436,non_profit,email,billing,bug,low,open,gold,The page keeps crashing whenever I try to open the billing section.,Thanks for reporting this bug. We will look into this and get back to you within the next 48 hours.,Not yet resolved,,0,positive,5,0,android,EU,2025,1,January,1,False,True
TCKT_000038,2022-05-07 23:25:23,CUST_07422,education,web_form,analytics_dashboard,billing_problem,medium,on_hold,gold,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Not yet resolved,,0,neutral,0,0,web,EU,2022,5,May,2,False,True
TCKT_000039,2022-06-05 21:42:17,CUST_09824,education,email,analytics_dashboard,account_access,high,resolved,standard,My 2FA code is not working when I try to sign in.,Sorry to hear you're having trouble accessing your account. We are prioritizing this and will update you as soon as possible.,Reset account credentials and confirmed successful login.,2.62,0,neutral,0,0,ios,LATAM,2022,6,June,2,True,False
TCKT_000040,2023-10-07 22:47:51,CUST_06834,non_profit,web_form,login_auth,billing_problem,medium,in_progress,gold,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Not yet resolved,,0,neutral,3,0,android,Unknown,2023,10,October,4,False,True
TCKT_000041,2023-02-17 03:42:35,CUST_04381,non_profit,in_app,billing,performance,low,in_progress,standard,The billing page is very slow and takes a long time to load.,We understand performance issues can be frustrating. We will look into this and get back to you within the next 48 hours.,Not yet resolved,,0,very_negative,1,0,web,MEA,2023,2,February,1,False,True
TCKT_000042,2025-06-14 20:02:17,CUST_09818,education,in_app,notifications,feature_request,low,in_progress,standard,It would be great to have notifications support in your product.,Thanks for your feature suggestion. We will look into this and get back to you within the next 48 hours.,Not yet resolved,,0,positive,4,0,api_client,Unknown,2025,6,June,2,False,True
TCKT_000043,2025-01-10 02:31:48,CUST_07165,small_business,email,api_integration,how_to,low,in_progress,gold,Can you explain how to configure api integration properly?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,Not yet resolved,,0,positive,5,0,android,LATAM,2025,1,January,1,False,True
TCKT_000044,2024-06-15 23:21:03,CUST_09880,individual,in_app,login_auth,bug,high,resolved,standard,The login auth feature is not saving my changes.,Thanks for reporting this bug. We are prioritizing this and will update you as soon as possible.,Patched the bug and deployed a fix to production.,16.64,0,positive,0,0,web,LATAM,2024,6,June,2,True,False
TCKT_000045,2025-10-14 12:02:27,CUST_00729,non_profit,in_app,api_integration,performance,low,resolved,standard,Overall performance has degraded in the last few days.,We understand performance issues can be frustrating. We will look into this and get back to you within the next 48 hours.,Optimized queries and increased resource allocation.,8.69,0,positive,0,0,android,APAC,2025,10,October,4,True,False
TCKT_000046,2023-10-14 13:26:23,CUST_04947,small_business,phone_transcript,analytics_dashboard,feature_request,medium,open,standard,Our team needs more advanced options for analytics dashboard.,Thanks for your feature suggestion. Our team is reviewing this and will follow up within 24 hours.,Not yet resolved,,0,positive,4,0,ios,LATAM,2023,10,October,4,False,True
TCKT_000047,2023-02-20 23:35:20,CUST_01063,enterprise,email,billing,other,low,resolved,standard,I need help but I'm not sure which category this fits in.,Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,Provided general guidance and confirmed the issue was resolved.,43.17,0,neutral,3,0,api_client,Unknown,2023,2,February,1,True,False
TCKT_000048,2022-01-27 08:19:20,CUST_07242,individual,in_app,login_auth,account_access,high,resolved,gold,I cannot log in; the system says my password is incorrect.,Sorry to hear you're having trouble accessing your account. We are prioritizing this and will update you as soon as possible.,Reset account credentials and confirmed successful login.,10.8,0,very_negative,1,1,ios,Unknown,2022,1,January,1,True,False
TCKT_000049,2025-01-15 09:55:48,CUST_05542,small_business,phone_transcript,mobile_app,feature_request,urgent,on_hold,standard,Can you add an option to customize mobile app?,Thanks for your feature suggestion. This has been escalated to our on-call team for immediate attention.,Not yet resolved,,0,positive,4,0,api_client,APAC,2025,1,January,1,False,True
TCKT_000050,2024-10-25 01:38:03,CUST_03487,non_profit,in_app,billing,account_access,medium,on_hold,gold,My account was locked after multiple failed login attempts.,Sorry to hear you're having trouble accessing your account. Our team is reviewing this and will follow up within 24 hours.,Not yet resolved,,0,very_negative,2,1,web,EU,2024,10,October,4,False,True
TCKT_000051,2023-03-23 01:14:37,CUST_09274,enterprise,email,billing,feature_request,medium,resolved,gold,Can you add an option to customize billing?,Thanks for your feature suggestion. Our team is reviewing this and will follow up within 24 hours.,Captured the request and added it to the product backlog.,36.75,0,positive,0,0,ios,MEA,2023,3,March,1,True,False
TCKT_000052,2024-10-10 15:47:36,CUST_00824,small_business,phone_transcript,login_auth,account_access,medium,resolved,gold,My account was locked after multiple failed login attempts.,Sorry to hear you're having trouble accessing your account. Our team is reviewing this and will follow up within 24 hours.,Reset account credentials and confirmed successful login.,47.03,0,negative,3,0,desktop_app,APAC,2024,10,October,4,True,False
TCKT_000053,2023-07-16 13:19:32,CUST_09443,individual,email,data_export,security_concern,medium,open,standard,We need details about your data encryption and compliance.,We take security very seriously. Our team is reviewing this and will follow up within 24 hours.,Not yet resolved,,0,very_negative,0,0,web,Unknown,2023,7,July,3,False,True
TCKT_000054,2023-04-03 10:12:18,CUST_02704,enterprise,chat,data_export,account_access,medium,closed_no_action,platinum,I cannot log in; the system says my password is incorrect.,Sorry to hear you're having trouble accessing your account. Our team is reviewing this and will follow up within 24 hours.,Ticket closed without further action after no response from the customer.,36.5,0,negative,0,1,desktop_app,MEA,2023,4,April,2,True,False
TCKT_000055,2024-12-22 02:06:27,CUST_03720,education,in_app,billing,how_to,low,resolved,standard,How can I export my data from the billing section?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,Provided step-by-step instructions and relevant documentation.,70.36,0,very_positive,5,0,android,MEA,2024,12,December,4,True,False
TCKT_000056,2022-03-06 09:01:07,CUST_02780,individual,phone_transcript,api_integration,feature_request,low,in_progress,standard,Can you add an option to customize api integration?,Thanks for your feature suggestion. We will look into this and get back to you within the next 48 hours.,Not yet resolved,,0,very_positive,5,0,android,Unknown,2022,3,March,1,False,True
TCKT_000057,2024-10-03 13:18:01,CUST_02872,enterprise,phone_transcript,notifications,bug,high,resolved,standard,I am seeing an error message when I click on notifications.,Thanks for reporting this bug. We are prioritizing this and will update you as soon as possible.,Patched the bug and deployed a fix to production.,10.46,0,positive,4,0,android,EU,2024,10,October,4,True,False
TCKT_000058,2022-10-20 20:04:14,CUST_03926,individual,phone_transcript,notifications,security_concern,high,resolved,standard,There seems to be a vulnerability in the notifications functionality.,We take security very seriously. We are prioritizing this and will update you as soon as possible.,"Investigated logs, mitigated the issue, and updated security settings.",1.85,0,very_negative,0,0,android,EU,2022,10,October,4,True,False
TCKT_000059,2022-06-03 21:59:32,CUST_09861,small_business,chat,analytics_dashboard,bug,urgent,resolved,gold,The page keeps crashing whenever I try to open the analytics dashboard section.,Thanks for reporting this bug. This has been escalated to our on-call team for immediate attention.,Patched the bug and deployed a fix to production.,7.56,0,positive,0,1,ios,LATAM,2022,6,June,2,True,False
TCKT_000060,2024-04-02 18:08:50,CUST_04781,small_business,phone_transcript,login_auth,how_to,medium,in_progress,gold,I need help setting up login auth for my team.,Happy to help with your question. Our team is reviewing this and will follow up within 24 hours.,Not yet resolved,,1,positive,5,0,web,LATAM,2024,4,April,2,False,True
TCKT_000061,2023-01-06 20:57:25,CUST_00771,small_business,chat,notifications,other,medium,resolved,standard,"Something seems off, can you please check my workspace?",Thanks for contacting support. Our team is reviewing this and will follow up within 24 hours.,Provided general guidance and confirmed the issue was resolved.,28.68,0,positive,5,0,ios,EU,2023,1,January,1,True,False
TCKT_000062,2022-06-19 22:08:36,CUST_06997,small_business,email,data_export,billing_problem,medium,resolved,platinum,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Adjusted the invoice and issued a refund where applicable.,31.16,0,very_positive,5,0,ios,APAC,2022,6,June,2,True,False
TCKT_000063,2025-11-17 20:18:58,CUST_01332,individual,phone_transcript,mobile_app,security_concern,medium,resolved,platinum,There seems to be a vulnerability in the mobile app functionality.,We take security very seriously. Our team is reviewing this and will follow up within 24 hours.,"Investigated logs, mitigated the issue, and updated security settings.",17.11,0,negative,2,0,api_client,APAC,2025,11,November,4,True,False
TCKT_000064,2025-03-07 13:04:09,CUST_02833,individual,email,mobile_app,feature_request,low,resolved,platinum,Our team needs more advanced options for mobile app.,Thanks for your feature suggestion. We will look into this and get back to you within the next 48 hours.,Captured the request and added it to the product backlog.,39.53,0,neutral,4,0,ios,Unknown,2025,3,March,1,True,False
TCKT_000065,2025-01-29 09:42:46,CUST_07351,individual,in_app,analytics_dashboard,performance,medium,resolved,gold,Queries in the analytics dashboard module are timing out.,We understand performance issues can be frustrating. Our team is reviewing this and will follow up within 24 hours.,Optimized queries and increased resource allocation.,11.92,0,neutral,4,0,ios,LATAM,2025,1,January,1,True,False
TCKT_000066,2024-03-09 20:06:09,CUST_06778,non_profit,in_app,billing,security_concern,low,resolved,standard,There seems to be a vulnerability in the billing functionality.,We take security very seriously. We will look into this and get back to you within the next 48 hours.,"Investigated logs, mitigated the issue, and updated security settings.",30.25,0,very_negative,1,1,android,APAC,2024,3,March,1,True,False
TCKT_000067,2024-10-17 01:08:49,CUST_09946,individual,web_form,billing,billing_problem,medium,open,gold,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Not yet resolved,,0,neutral,0,0,desktop_app,Unknown,2024,10,October,4,False,True
TCKT_000068,2022-05-09 23:59:12,CUST_01277,enterprise,in_app,mobile_app,how_to,urgent,resolved,platinum,Can you explain how to configure mobile app properly?,Happy to help with your question. This has been escalated to our on-call team for immediate attention.,Provided step-by-step instructions and relevant documentation.,1.97,0,positive,5,1,ios,MEA,2022,5,May,2,True,False
TCKT_000069,2022-05-02 03:23:35,CUST_05127,enterprise,web_form,mobile_app,security_concern,medium,resolved,gold,There seems to be a vulnerability in the mobile app functionality.,We take security very seriously. Our team is reviewing this and will follow up within 24 hours.,"Investigated logs, mitigated the issue, and updated security settings.",5.34,0,positive,4,0,ios,MEA,2022,5,May,2,True,False
TCKT_000070,2022-04-24 13:06:44,CUST_08906,small_business,chat,analytics_dashboard,security_concern,medium,resolved,standard,There seems to be a vulnerability in the analytics dashboard functionality.,We take security very seriously. Our team is reviewing this and will follow up within 24 hours.,"Investigated logs, mitigated the issue, and updated security settings.",27.55,0,very_negative,1,0,android,MEA,2022,4,April,2,True,False
TCKT_000071,2023-06-23 11:12:17,CUST_06372,non_profit,phone_transcript,analytics_dashboard,bug,medium,resolved,gold,I am seeing an error message when I click on analytics dashboard.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,Patched the bug and deployed a fix to production.,22.99,0,negative,0,0,ios,EU,2023,6,June,2,True,False
TCKT_000072,2023-02-16 12:24:01,CUST_00877,education,in_app,api_integration,performance,low,closed_no_action,standard,Overall performance has degraded in the last few days.,We understand performance issues can be frustrating. We will look into this and get back to you within the next 48 hours.,Ticket closed without further action after no response from the customer.,72.67,0,negative,3,0,desktop_app,LATAM,2023,2,February,1,True,False
TCKT_000073,2024-05-01 05:15:10,CUST_03736,small_business,in_app,analytics_dashboard,feature_request,high,open,standard,Our team needs more advanced options for analytics dashboard.,Thanks for your feature suggestion. We are prioritizing this and will update you as soon as possible.,Not yet resolved,,0,neutral,3,0,web,APAC,2024,5,May,2,False,True
TCKT_000074,2023-07-09 01:13:46,CUST_08196,non_profit,in_app,mobile_app,how_to,low,closed_no_action,standard,How can I export my data from the mobile app section?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,Ticket closed without further action after no response from the customer.,180.15,0,positive,4,0,ios,EU,2023,7,July,3,True,False
TCKT_000075,2024-08-26 23:58:35,CUST_06470,small_business,chat,billing,bug,urgent,resolved,standard,The page keeps crashing whenever I try to open the billing section.,Thanks for reporting this bug. This has been escalated to our on-call team for immediate attention.,Patched the bug and deployed a fix to production.,5.92,0,neutral,4,0,desktop_app,MEA,2024,8,August,3,True,False
TCKT_000076,2025-12-30 15:04:42,CUST_06989,individual,web_form,analytics_dashboard,billing_problem,medium,open,standard,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Not yet resolved,,0,very_negative,0,0,desktop_app,LATAM,2025,12,December,4,False,True
TCKT_000077,2025-11-23 22:17:37,CUST_01620,education,chat,login_auth,bug,low,resolved,gold,The page keeps crashing whenever I try to open the login auth section.,Thanks for reporting this bug. We will look into this and get back to you within the next 48 hours.,Patched the bug and deployed a fix to production.,46.12,0,neutral,4,0,desktop_app,EU,2025,11,November,4,True,False
TCKT_000078,2025-09-15 08:07:23,CUST_00236,small_business,in_app,analytics_dashboard,bug,medium,closed_no_action,platinum,The analytics dashboard feature is not saving my changes.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,Ticket closed without further action after no response from the customer.,68.28,0,neutral,4,0,android,Unknown,2025,9,September,3,True,False
TCKT_000079,2024-01-05 08:07:35,CUST_09065,education,chat,notifications,other,high,resolved,gold,I need help but I'm not sure which category this fits in.,Thanks for contacting support. We are prioritizing this and will update you as soon as possible.,Provided general guidance and confirmed the issue was resolved.,5.29,0,negative,3,0,api_client,MEA,2024,1,January,1,True,False
TCKT_000080,2024-05-17 04:49:28,CUST_09511,non_profit,phone_transcript,notifications,other,medium,resolved,gold,I need help but I'm not sure which category this fits in.,Thanks for contacting support. Our team is reviewing this and will follow up within 24 hours.,Provided general guidance and confirmed the issue was resolved.,27.75,0,neutral,3,0,api_client,LATAM,2024,5,May,2,True,False
TCKT_000081,2023-09-04 13:53:17,CUST_03688,non_profit,web_form,login_auth,other,low,resolved,standard,"Something seems off, can you please check my workspace?",Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,Provided general guidance and confirmed the issue was resolved.,29.3,0,positive,5,0,ios,EU,2023,9,September,3,True,False
TCKT_000082,2022-04-20 21:56:03,CUST_08670,enterprise,in_app,analytics_dashboard,billing_problem,high,resolved,standard,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. We are prioritizing this and will update you as soon as possible.,Adjusted the invoice and issued a refund where applicable.,8.17,0,very_negative,2,0,desktop_app,Unknown,2022,4,April,2,True,False
TCKT_000083,2025-06-08 06:19:48,CUST_01866,enterprise,chat,mobile_app,performance,low,resolved,standard,Overall performance has degraded in the last few days.,We understand performance issues can be frustrating. We will look into this and get back to you within the next 48 hours.,Optimized queries and increased resource allocation.,62.17,0,very_negative,1,0,api_client,Unknown,2025,6,June,2,True,False
TCKT_000084,2022-05-15 11:23:47,CUST_02892,small_business,chat,login_auth,security_concern,high,open,standard,There seems to be a vulnerability in the login auth functionality.,We take security very seriously. We are prioritizing this and will update you as soon as possible.,Not yet resolved,,0,negative,2,1,android,EU,2022,5,May,2,False,True
TCKT_000085,2022-04-20 09:22:17,CUST_06167,individual,web_form,analytics_dashboard,performance,medium,closed_no_action,standard,Queries in the analytics dashboard module are timing out.,We understand performance issues can be frustrating. Our team is reviewing this and will follow up within 24 hours.,Ticket closed without further action after no response from the customer.,150.63,0,negative,2,0,desktop_app,LATAM,2022,4,April,2,True,False
TCKT_000086,2023-02-25 16:20:59,CUST_04452,individual,chat,notifications,security_concern,high,resolved,standard,We need details about your data encryption and compliance.,We take security very seriously. We are prioritizing this and will update you as soon as possible.,"Investigated logs, mitigated the issue, and updated security settings.",15.98,0,neutral,3,0,api_client,Unknown,2023,2,February,1,True,False
TCKT_000087,2025-10-29 16:53:59,CUST_03369,non_profit,web_form,analytics_dashboard,bug,high,resolved,standard,I am seeing an error message when I click on analytics dashboard.,Thanks for reporting this bug. We are prioritizing this and will update you as soon as possible.,Patched the bug and deployed a fix to production.,23.65,0,positive,0,0,ios,LATAM,2025,10,October,4,True,False
TCKT_000088,2024-07-25 10:40:54,CUST_06515,education,in_app,data_export,billing_problem,medium,on_hold,standard,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Not yet resolved,,0,negative,2,1,android,APAC,2024,7,July,3,False,True
